filename,region,landmark,vector_x,vector_y,class,image_path
36.jpg,Left Eye,3,0.5,3,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,Left Eye,4,-6.5,-1,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,Left Eye,5,5.5,2,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,Left Eye,6,-0.5,-4,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,Left Eye,7,0.5,6,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,Left Eye,36,-1.5,-1,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,Left Eye,37,1.5,1,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,Left Eye,38,0.5,-2,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,Right Eye,1,1,3.5,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,Right Eye,8,6,-0.5,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,Right Eye,9,-5,5.5,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,Right Eye,10,0,-2.5,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,Right Eye,11,1,7.5,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,Right Eye,39,1,-1.5,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,Right Eye,40,-1,1.5,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,Right Eye,41,2,1.5,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,"Nose, Mouth, and Whiskers",0,-1,4,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,"Nose, Mouth, and Whiskers",2,-1,7,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,"Nose, Mouth, and Whiskers",12,-1,-7,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,"Nose, Mouth, and Whiskers",13,4,-6,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,"Nose, Mouth, and Whiskers",14,-4,-6,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,"Nose, Mouth, and Whiskers",15,6,-5,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,"Nose, Mouth, and Whiskers",16,0,0,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,"Nose, Mouth, and Whiskers",17,0,2,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,"Nose, Mouth, and Whiskers",18,3,5,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,"Nose, Mouth, and Whiskers",19,8,7,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,"Nose, Mouth, and Whiskers",20,-4,4,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,"Nose, Mouth, and Whiskers",21,-10,6,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,"Nose, Mouth, and Whiskers",32,-17,-5,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,"Nose, Mouth, and Whiskers",33,-8,0,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,"Nose, Mouth, and Whiskers",34,7,1,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
36.jpg,"Nose, Mouth, and Whiskers",35,14,-1,angry,/content/cat-facial-expression-recognition/Images/angry/36.jpg
