filename,region,landmark,vector_x,vector_y,class,image_path
152.jpg,Left Eye,3,-0.5,2.5,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,Left Eye,4,-3.5,0.5,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,Left Eye,5,2.5,2.5,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,Left Eye,6,-0.5,-2.5,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,Left Eye,7,-0.5,3.5,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,Left Eye,36,-0.5,-0.5,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,Left Eye,37,0.5,0.5,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,Left Eye,38,-1.5,0.5,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,Right Eye,1,-0.5,2,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,Right Eye,8,3.5,0,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,Right Eye,9,-3.5,1,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,Right Eye,10,0.5,-2,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,Right Eye,11,-0.5,3,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,Right Eye,39,0.5,-1,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,Right Eye,40,-0.5,1,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,Right Eye,41,0.5,0,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,"Nose, Mouth, and Whiskers",0,0,3,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,"Nose, Mouth, and Whiskers",2,0,5,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,"Nose, Mouth, and Whiskers",12,-2,-4,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,"Nose, Mouth, and Whiskers",13,2,-4,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,"Nose, Mouth, and Whiskers",14,-3,-3,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,"Nose, Mouth, and Whiskers",15,4,-2,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,"Nose, Mouth, and Whiskers",16,0,0,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,"Nose, Mouth, and Whiskers",17,1,2,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,"Nose, Mouth, and Whiskers",18,3,4,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,"Nose, Mouth, and Whiskers",19,7,6,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,"Nose, Mouth, and Whiskers",20,-3,3,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,"Nose, Mouth, and Whiskers",21,-7,5,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,"Nose, Mouth, and Whiskers",32,-12,-3,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,"Nose, Mouth, and Whiskers",33,-6,0,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,"Nose, Mouth, and Whiskers",34,8,2,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,"Nose, Mouth, and Whiskers",35,16,0,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,"Nose, Mouth, and Whiskers",42,-8,-3,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,"Nose, Mouth, and Whiskers",43,9,-1,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,"Nose, Mouth, and Whiskers",44,-2,-2,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,"Nose, Mouth, and Whiskers",45,2,-2,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,"Nose, Mouth, and Whiskers",46,-11,2,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,"Nose, Mouth, and Whiskers",47,13,5,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,Forehead,22,-10,-1.5,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,Forehead,23,-15,-8.5,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,Forehead,24,-23,-16.5,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,Forehead,25,-21,-3.5,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
152.jpg,Forehead,26,-20,5.5,cheerful,/content/cat-facial-expression-recognition/Images/happy/152.jpg
